#,id,roleURI,usedOn,definition,Defined Schema Systemid,comment
1,dart_2024-06-30_role-D210000,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-D210000,link:calculationLink link:definitionLink link:presentationLink ,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements",dart_all_2024-06-30.xsd,
56,dart_2024-06-30_role-DI610005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DI610005,link:presentationLink link:calculationLink link:definitionLink ,"[DI610005] 자본변동표, 보험 - 별도 | Statement of Changes in Equity, Insurance Based - Separate financial statements",dart_all_2024-06-30.xsd,
57,dart_2024-06-30_role-DS610005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DS610005,link:presentationLink link:calculationLink link:definitionLink ,"[DS610005] 자본변동표, 증권 - 별도 | Statement of Changes in Equity, Securities Based - Separate financial statements",dart_all_2024-06-30.xsd,
58,dart_2024-06-30_role-DX610005,http://dart.fss.or.kr/role/ifrs/dart_2024-06-30_role-DX610005,link:presentationLink link:calculationLink link:definitionLink ,"[DX610005] 자본변동표, 기타 - 별도 | Statement of Changes in Equity, Others - Separate financial statements",dart_all_2024-06-30.xsd,
59,ias_1_role-D810000,http://dart.fss.or.kr/role/ifrs/ias_1_role-D810000,link:presentationLink link:definitionLink ,[D810000] 주석 - 기업정보와 한국채택국제회계기준 준수 사실 기재 - 연결 | Notes - Corporate information and statement of IFRS compliance - Consolidated financial statements,dart_all_2024-06-30.xsd,
60,ias_1_role-D810000a,http://dart.fss.or.kr/role/ifrs/ias_1_role-D810000a,link:definitionLink ,[D810000a] 주석 - 기업정보와 한국채택국제회계기준 준수 사실 기재 - 연결 | Notes - Corporate information and statement of IFRS compliance - Consolidated financial statements,dart_all_2024-06-30.xsd,
61,ias_1_role-D810000b,http://dart.fss.or.kr/role/ifrs/ias_1_role-D810000b,link:definitionLink ,[D810000b] 주석 - 기업정보와 한국채택국제회계기준 준수 사실 기재 - 연결 | Notes - Corporate information and statement of IFRS compliance - Consolidated financial statements,dart_all_2024-06-30.xsd,
62,ias_1_role-D810000c,http://dart.fss.or.kr/role/ifrs/ias_1_role-D810000c,link:definitionLink ,[D810000c] 주석 - 기업정보와 한국채택국제회계기준 준수 사실 기재 - 연결 | Notes - Corporate information and statement of IFRS compliance - Consolidated financial statements,dart_all_2024-06-30.xsd,
63,ias_1_role-D800100,http://dart.fss.or.kr/role/ifrs/ias_1_role-D800100,link:presentationLink link:definitionLink ,"[D800100] 주석 - 자산, 부채 및 자본의 세분류 - 연결 | Notes - Subclassifications of assets, liabilities and equities - Consolidated financial statements",dart_all_2024-06-30.xsd,
64,ias_1_role-D800200,http://dart.fss.or.kr/role/ifrs/ias_1_role-D800200,link:presentationLink link:definitionLink ,[D800200] 주석 - 수익과 비용 분석 - 연결 | Notes - Analysis of income and expense - Consolidated financial statements,dart_all_2024-06-30.xsd,
65,ias_1_role-D861000,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861000,link:presentationLink link:definitionLink ,[D861000] 주석 - 기타포괄손익의 항목별 분석 - 연결 | Notes - Analysis of other comprehensive income by item - Consolidated financial statements,dart_all_2024-06-30.xsd,
66,ias_1_role-D861200,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861200,link:presentationLink link:definitionLink ,"[D861200] 주석 - 자본금, 적립금, 기타지분 - 연결 | Notes - Share capital, reserves and other equity interest - Consolidated financial statements",dart_all_2024-06-30.xsd,
67,ias_1_role-D861200a,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861200a,link:definitionLink ,"[D861200a] 주석 - 자본금, 적립금, 기타지분 - 연결 | Notes - Share capital, reserves and other equity interest - Consolidated financial statements",dart_all_2024-06-30.xsd,
68,ias_1_role-D861200b,http://dart.fss.or.kr/role/ifrs/ias_1_role-D861200b,link:definitionLink ,"[D861200b] 주석 - 자본금, 적립금, 기타지분 - 연결 | Notes - Share capital, reserves and other equity interest - Consolidated financial statements",dart_all_2024-06-30.xsd,
69,ias_1_role-D800400,http://dart.fss.or.kr/role/ifrs/ias_1_role-D800400,link:presentationLink link:definitionLink ,"[D800400] 주석 - 자본변동표, 추가공시 - 연결 | Notes - Statement of changes in equity, additional disclosures - Consolidated financial statements",dart_all_2024-06-30.xsd,
70,ias_1_role-D800500,http://dart.fss.or.kr/role/ifrs/ias_1_role-D800500,link:presentationLink link:definitionLink ,[D800500] 주석 - 주석 목록 - 연결 | Notes - List of notes - Consolidated financial statements,dart_all_2024-06-30.xsd,
71,ias_1_role-D800600,http://dart.fss.or.kr/role/ifrs/ias_1_role-D800600,link:presentationLink link:definitionLink ,[D800600] 주석 - 회계정책 목록 - 연결 | Notes - List of accounting policies - Consolidated financial statements,dart_all_2024-06-30.xsd,
72,ias_1_role-D880000,http://dart.fss.or.kr/role/ifrs/ias_1_role-D880000,link:presentationLink link:definitionLink ,[D880000] 주석 - 추가정보 - 연결 | Notes - Additional information - Consolidated financial statements,dart_all_2024-06-30.xsd,
73,ias_10_role-D815000,http://dart.fss.or.kr/role/ifrs/ias_10_role-D815000,link:presentationLink link:definitionLink ,[D815000] 주석 - 보고기간 후 사건 - 연결 | Notes - Events after reporting period - Consolidated financial statements,dart_all_2024-06-30.xsd,
74,ias_12_role-D835110,http://dart.fss.or.kr/role/ifrs/ias_12_role-D835110,link:presentationLink link:definitionLink ,[D835110] 주석 - 법인세 - 연결 | Notes - Income taxes - Consolidated financial statements,dart_all_2024-06-30.xsd,
75,ias_16_role-D822100,http://dart.fss.or.kr/role/ifrs/ias_16_role-D822100,link:presentationLink link:definitionLink ,"[D822100] 주석 - 유형자산 - 연결 | Notes - Property, plant and equipment - Consolidated financial statements",dart_all_2024-06-30.xsd,
76,ias_19_role-D834480,http://dart.fss.or.kr/role/ifrs/ias_19_role-D834480,link:presentationLink link:definitionLink ,[D834480] 주석 - 종업원급여 - 연결 | Notes - Employee benefits - Consolidated financial statements,dart_all_2024-06-30.xsd,
77,ias_19_role-D834480a,http://dart.fss.or.kr/role/ifrs/ias_19_role-D834480a,link:definitionLink ,[D834480a] 주석 - 종업원급여 - 연결 | Notes - Employee benefits - Consolidated financial statements,dart_all_2024-06-30.xsd,
78,ias_19_role-D834480b,http://dart.fss.or.kr/role/ifrs/ias_19_role-D834480b,link:definitionLink ,[D834480b] 주석 - 종업원급여 - 연결 | Notes - Employee benefits - Consolidated financial statements,dart_all_2024-06-30.xsd,
79,ias_19_role-D834480c,http://dart.fss.or.kr/role/ifrs/ias_19_role-D834480c,link:definitionLink ,[D834480c] 주석 - 종업원급여 - 연결 | Notes - Employee benefits - Consolidated financial statements,dart_all_2024-06-30.xsd,
80,ias_19_role-D834480d,http://dart.fss.or.kr/role/ifrs/ias_19_role-D834480d,link:definitionLink ,[D834480d] 주석 - 종업원급여 - 연결 | Notes - Employee benefits - Consolidated financial statements,dart_all_2024-06-30.xsd,
81,ias_2_role-D826380,http://dart.fss.or.kr/role/ifrs/ias_2_role-D826380,link:presentationLink link:definitionLink ,[D826380] 주석 - 재고자산 - 연결 | Notes - Inventories - Consolidated financial statements,dart_all_2024-06-30.xsd,
82,ias_20_role-D831400,http://dart.fss.or.kr/role/ifrs/ias_20_role-D831400,link:presentationLink link:definitionLink ,[D831400] 주석 - 정부보조금 - 연결 | Notes - Government grants - Consolidated financial statements,dart_all_2024-06-30.xsd,
83,ias_21_role-D842000,http://dart.fss.or.kr/role/ifrs/ias_21_role-D842000,link:presentationLink link:definitionLink ,[D842000] 주석 - 환율변동효과 - 연결 | Notes - Effects of changes in foreign exchange rates - Consolidated financial statements,dart_all_2024-06-30.xsd,
84,ias_23_role-D836200,http://dart.fss.or.kr/role/ifrs/ias_23_role-D836200,link:presentationLink link:definitionLink ,[D836200] 주석 - 차입원가 - 연결 | Notes - Borrowing costs - Consolidated financial statements,dart_all_2024-06-30.xsd,
85,ias_24_role-D818000,http://dart.fss.or.kr/role/ifrs/ias_24_role-D818000,link:presentationLink link:definitionLink ,[D818000] 주석 - 특수관계자 - 연결 | Notes - Related party - Consolidated financial statements,dart_all_2024-06-30.xsd,
86,ias_24_role-D818000a,http://dart.fss.or.kr/role/ifrs/ias_24_role-D818000a,link:definitionLink ,[D818000a] 주석 - 특수관계자 - 연결 | Notes - Related party - Consolidated financial statements,dart_all_2024-06-30.xsd,
87,ias_27_role-D825480,http://dart.fss.or.kr/role/ifrs/ias_27_role-D825480,link:presentationLink link:definitionLink ,[D825480] 주석 - 별도재무제표 - 연결 | Notes - Separate financial statements - Consolidated financial statements,dart_all_2024-06-30.xsd,
88,ias_27_role-D825480a,http://dart.fss.or.kr/role/ifrs/ias_27_role-D825480a,link:definitionLink ,[D825480a] 주석 - 별도재무제표 - 연결 | Notes - Separate financial statements - Consolidated financial statements,dart_all_2024-06-30.xsd,
89,ias_27_role-D825480c,http://dart.fss.or.kr/role/ifrs/ias_27_role-D825480c,link:definitionLink ,[D825480c] 주석 - 별도재무제표 - 연결 | Notes - Separate financial statements - Consolidated financial statements,dart_all_2024-06-30.xsd,
90,ias_29_role-D816000,http://dart.fss.or.kr/role/ifrs/ias_29_role-D816000,link:presentationLink link:definitionLink ,[D816000] 주석 - 초인플레이션 경제에서의 재무보고 - 연결 | Notes - Hyperinflationary reporting - Consolidated financial statements,dart_all_2024-06-30.xsd,
91,ias_33_role-D838000,http://dart.fss.or.kr/role/ifrs/ias_33_role-D838000,link:presentationLink link:definitionLink ,[D838000] 주석 - 주당이익 - 연결 | Notes - Earnings per share - Consolidated financial statements,dart_all_2024-06-30.xsd,
92,ias_34_role-D813000,http://dart.fss.or.kr/role/ifrs/ias_34_role-D813000,link:presentationLink link:definitionLink ,[D813000] 주석 - 중간재무보고 - 연결 | Notes - Interim financial reporting - Consolidated financial statements,dart_all_2024-06-30.xsd,
93,ias_36_role-D832410,http://dart.fss.or.kr/role/ifrs/ias_36_role-D832410,link:presentationLink link:definitionLink ,[D832410] 주석 - 자산손상 - 연결 | Notes - Impairment of assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
94,ias_36_role-D832410a,http://dart.fss.or.kr/role/ifrs/ias_36_role-D832410a,link:definitionLink ,[D832410a] 주석 - 자산손상 - 연결 | Notes - Impairment of assets - Consolidated financial statements,dart_all_2024-06-30.xsd,
