#,prefix,name,id,type,enumerations,substitutionGroup,balance,periodType,abstract,nillable,typedDomainRef,ext. enum domain,ext. enum linkrole,ext. enum headUsable,comment
5313,ifrs-full,ExplanationOfEffectThatTimingOfSatisfactionOfPerformanceObligationsAndTypicalTimingOfPaymentHaveOnContractAssetsAndContractLiabilitiesExplanatory,ifrs-full_ExplanationOfEffectThatTimingOfSatisfactionOfPerformanceObligationsAndTypicalTimingOfPaymentHaveOnContractAssetsAndContractLiabilitiesExplanatory,nonnum:textBlockItemType,,xbrli:item,,duration,,true,,,,,
5314,ifrs-full,ExplanationOfEstimatedFinancialEffectContingentLiabilitiesInBusinessCombination,ifrs-full_ExplanationOfEstimatedFinancialEffectContingentLiabilitiesInBusinessCombination,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5315,ifrs-full,ExplanationOfEstimatedFinancialEffectOfContingentAssets,ifrs-full_ExplanationOfEstimatedFinancialEffectOfContingentAssets,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5316,ifrs-full,ExplanationOfFactAndBasisForPreparationOfFinancialStatementsWhenNotGoingConcernBasis,ifrs-full_ExplanationOfFactAndBasisForPreparationOfFinancialStatementsWhenNotGoingConcernBasis,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5317,ifrs-full,ExplanationOfFactThatAggregateCarryingAmountOfGoodwillOrIntangibleAssetsWithIndefiniteUsefulLivesAllocatedToRecoverableAmountsIsSignificant,ifrs-full_ExplanationOfFactThatAggregateCarryingAmountOfGoodwillOrIntangibleAssetsWithIndefiniteUsefulLivesAllocatedToRecoverableAmountsIsSignificant,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5318,ifrs-full,ExplanationOfFactThatCarryingAmountOfGoodwillOrIntangibleAssetsWithIndefiniteUsefulLivesIsNotSignificant,ifrs-full_ExplanationOfFactThatCarryingAmountOfGoodwillOrIntangibleAssetsWithIndefiniteUsefulLivesIsNotSignificant,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5319,ifrs-full,ExplanationOfFactThatEntitysOwnersOrOthersHavePowerToAmendFinancialStatementsAfterIssue,ifrs-full_ExplanationOfFactThatEntitysOwnersOrOthersHavePowerToAmendFinancialStatementsAfterIssue,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5320,ifrs-full,ExplanationOfFactThatFinancialInstrumentsWhoseFairValuePreviouslyCouldNotBeReliablyMeasuredAreDerecognised,ifrs-full_ExplanationOfFactThatFinancialInstrumentsWhoseFairValuePreviouslyCouldNotBeReliablyMeasuredAreDerecognised,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5321,ifrs-full,ExplanationOfFactThatFinancialStatementsAndCorrespondingFiguresForPreviousPeriodsHaveBeenRestatedForChangesInGeneralPurchasingPowerOfFunctionalCurrency,ifrs-full_ExplanationOfFactThatFinancialStatementsAndCorrespondingFiguresForPreviousPeriodsHaveBeenRestatedForChangesInGeneralPurchasingPowerOfFunctionalCurrency,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
5322,ifrs-full,ExplanationOfFactThatFinancialStatementsForPreviousPeriodsNotPresented,ifrs-full_ExplanationOfFactThatFinancialStatementsForPreviousPeriodsNotPresented,xbrli:stringItemType,,xbrli:item,,duration,,true,,,,,
